日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
3月18日,意大利,31506,2941,2503,3526,345,28565
3月19日,意大利,35713,4025,2978,4207,475,31688
3月20日,意大利,41035,4440,3405,5322,427,36595
3月21日,意大利,47021,5129,4032,5986,627,41892
3月22日,意大利,53578,6072,4825,6557,793,47506
3月23日,意大利,59138,7024,5476,5560,651,52114
3月24日,意大利,63927,7432,6077,4789,601,56495
3月25日,意大利,69176,8326,6820,5249,743,60850
3月26日,意大利,74386,9362,7503,5210,683,65024
3月27日,意大利,80589,10361,8215,6203,712,70228
3月28日,意大利,86498,10950,9134,5909,919,75548
3月29日,意大利,92472,12384,10023,5974,889,80088
3月30日,意大利,97689,13030,10779,5217,756,84659
3月31日,意大利,101739,14620,11591,4050,812,87119
4月1日,意大利,105792,15729,12428,4053,837,90063
4月2日,意大利,110574,16847,13155,4782,727,93727
4月3日,意大利,115242,18278,13915,4668,760,96964
4月4日,意大利,119827,19758,14681,4585,766,100069
4月5日,意大利,124632,20996,15362,4805,681,103636
4月6日,意大利,128948,21815,15887,4316,525,107133
4月7日,意大利,132547,22837,16523,3599,636,109710
4月8日,意大利,135586,24392,17127,3039,604,111194
4月9日,意大利,139422,26491,17669,3836,542,112931
4月10日,意大利,143626,28470,18279,4204,610,115156
4月11日,意大利,147577,30455,18849,3951,570,117122
4月12日,意大利,152271,32534,19468,4694,619,119737
4月13日,意大利,156363,34211,19899,4092,431,122152
4月14日,意大利,159516,35435,20465,3153,566,124081
4月15日,意大利,162488,37130,21067,2972,602,125358
4月16日,意大利,165155,38092,21645,2667,578,127063
4月17日,意大利,168941,40164,22170,3786,525,128777
4月18日,意大利,172434,42727,22745,3493,575,129707
4月19日,意大利,175925,44927,23227,3491,482,130998
4月20日,意大利,178972,47055,23660,3047,433,131917
4月21日,意大利,181228,48877,24114,2256,454,132351
4月22日,意大利,183957,51600,24648,2729,534,132357
4月23日,意大利,187327,54543,25085,3370,437,132784
4月24日,意大利,189973,57576,25549,2646,464,132397
4月25日,意大利,192994,60498,25969,3021,420,132496
4月26日,意大利,195351,63120,26384,2357,415,132231
4月27日,意大利,197675,64928,26644,2324,260,132747
4月28日,意大利,199414,66624,26977,1739,333,132790
4月29日,意大利,201505,68941,27359,2091,382,132564
4月30日,意大利,203591,71252,27682,2086,323,132339
5月1日,意大利,205463,75945,27967,1872,285,129518
5月2日,意大利,207428,78249,28236,1965,269,129179
5月3日,意大利,209328,79914,28710,1900,474,129414
5月4日,意大利,210717,81654,28884,1389,174,129063
5月5日,意大利,211938,82879,29079,1221,195,129059
5月6日,意大利,213013,85231,29315,1075,236,127782
5月7日,意大利,214457,93245,29684,1444,369,121212
5月8日,意大利,215858,96276,29958,1401,274,119582
5月9日,意大利,217185,99023,30201,1327,243,118162
5月10日,意大利,218268,103031,30395,1083,194,115237
5月11日,意大利,219070,105186,30560,802,165,113884
5月12日,意大利,219814,106587,30739,744,179,113227
5月13日,意大利,221216,109039,30911,1402,172,112177
5月14日,意大利,222104,112541,31106,888,195,109563
5月15日,意大利,223096,115288,31368,992,262,107808
5月16日,意大利,223885,120205,31610,789,242,103680
5月17日,意大利,224760,122810,31763,875,153,101950
5月18日,意大利,225435,125176,31908,675,145,100259
5月19日,意大利,225886,127326,32007,451,99,98560
5月20日,意大利,226699,129401,32169,813,162,97298
5月21日,意大利,227364,132282,32330,665,161,95082
5月22日,意大利,228006,134560,32486,642,156,93446
5月23日,意大利,228658,136720,32616,652,130,91938
5月24日,意大利,229327,138840,32735,669,119,90487
5月25日,意大利,229858,140479,32785,531,50,89379
5月26日,意大利,230158,141981,32877,300,92,88177
5月27日,意大利,230555,144658,32955,397,78,85897
5月28日,意大利,231139,147101,33072,584,117,84038
5月29日,意大利,231732,150604,33142,593,70,81128
5月30日,意大利,232248,152844,33229,516,87,79404
5月31日,意大利,232664,155633,33340,416,111,77031
6月1日,意大利,232997,157507,33415,333,75,75490
6月2日,意大利,233197,158355,33475,200,60,74842
6月3日,意大利,233515,160092,33530,318,55,73423
6月4日,意大利,233836,160938,33601,321,71,72898
6月5日,意大利,234013,161895,33689,177,88,72118
6月6日,意大利,234531,163781,33774,518,85,70750
6月7日,意大利,234801,165078,33846,270,72,69723
6月8日,意大利,234998,165837,33899,197,53,69161
6月9日,意大利,235278,166584,33964,280,65,68694
6月10日,意大利,235561,168646,34043,283,79,66915
6月11日,意大利,235763,169939,34114,202,71,65824
6月12日,意大利,236142,171338,34167,379,53,64804
6月13日,意大利,236305,173085,34223,163,56,63220
6月14日,意大利,236651,174865,34301,346,78,61786
6月15日,意大利,236989,176370,34345,338,44,60619
6月16日,意大利,237290,177010,34371,301,26,60280
6月17日,意大利,237500,178526,34405,210,34,58974
6月18日,意大利,237828,179455,34448,328,43,58373
6月19日,意大利,238011,180544,34514,183,66,57467
6月20日,意大利,238011,181907,34561,0,47,56104
6月21日,意大利,238275,182453,34610,264,49,55822
6月22日,意大利,238499,182893,34634,224,24,55606
6月23日,意大利,0,0,0,0,0,0
6月24日,意大利,0,0,0,0,0,0
6月25日,意大利,0,0,0,0,0,0
6月26日,意大利,0,0,0,0,0,0
6月27日,意大利,,,,,,
6月28日,意大利,,,,,,
6月29日,意大利,,,,,,
6月30日,意大利,,,,,,
2月1日,法国,6,,0,0,0,6
2月2日,法国,6,,0,0,0,6
2月3日,法国,6,,0,0,0,6
2月4日,法国,6,,0,0,0,6
2月5日,法国,6,,0,0,0,6
2月6日,法国,6,,0,0,0,6
2月7日,法国,6,,0,0,0,6
2月8日,法国,11,,0,5,0,11
2月9日,法国,11,,0,0,0,11
2月10日,法国,11,,0,0,0,11
2月11日,法国,11,,0,0,0,11
2月12日,法国,11,,0,0,0,11
2月13日,法国,11,,0,0,0,11
2月14日,法国,11,,0,0,0,11
2月15日,法国,11,,1,0,1,11
2月16日,法国,11,,1,0,0,11
2月17日,法国,12,,1,1,0,12
2月18日,法国,12,,1,0,0,12
2月19日,法国,12,,1,0,0,12
2月20日,法国,12,,1,0,0,12
2月21日,法国,12,,1,0,0,12
2月22日,法国,12,,1,0,0,12
2月23日,法国,12,,1,0,0,12
2月24日,法国,12,,1,0,0,12
2月25日,法国,12,,1,0,0,12
2月26日,法国,14,,1,2,0,14
2月27日,法国,17,,2,3,1,17
2月28日,法国,38,,2,21,0,38
2月29日,法国,57,,2,19,0,57
3月1日,法国,100,,2,43,0,100
3月2日,法国,130,,2,30,0,130
3月3日,法国,178,,3,48,1,178
3月4日,法国,212,,4,34,1,212
3月5日,法国,285,,4,73,0,285
3月6日,法国,423,,7,138,3,423
3月7日,法国,613,12,9,190,2,601
3月8日,法国,716,12,10,103,1,704
3月9日,法国,1126,12,19,410,9,1114
3月10日,法国,1412,12,30,286,11,1400
3月11日,法国,1784,12,33,372,3,1772
3月12日,法国,2281,12,48,497,15,2269
3月13日,法国,2876,12,61,595,13,2864
3月14日,法国,3661,12,79,785,18,3649
3月15日,法国,4499,12,91,838,12,4487
3月16日,法国,5423,12,127,924,36,5411
3月17日,法国,6633,12,148,1210,21,6621
3月18日,法国,7730,602,175,1097,27,7128
3月19日,法国,9134,602,244,1404,69,8532
3月20日,法国,10995,1295,372,1861,128,9700
3月21日,法国,12612,1587,450,1617,78,11025
3月22日,法国,14459,1587,562,1847,112,12872
3月23日,法国,16018,2200,674,1559,112,13818
3月24日,法国,19856,2200,860,3838,186,17656
3月25日,法国,22302,3281,1100,2446,240,19021
3月26日,法国,25233,3900,1331,2931,231,21333
3月27日,法国,29155,4948,1696,3922,365,24207
3月28日,法国,32964,5700,1995,3809,299,27264
3月29日,法国,37575,5700,2314,4611,319,31875
3月30日,法国,40174,7202,2606,2599,292,32972
3月31日,法国,44550,7927,3024,4376,418,36623
4月1日,法国,52128,9444,3523,7578,499,42684
4月2日,法国,56989,10934,4032,4861,509,46055
4月3日,法国,59105,12428,4503,2116,471,46677
4月4日,法国,64338,14008,6507,5233,2004,50330
4月5日,法国,68605,15438,7560,4267,1053,53167
4月6日,法国,70478,16183,8078,1873,518,54295
4月7日,法国,74390,17250,8911,3912,833,57140
4月8日,法国,78167,19337,10328,3777,1417,58830
4月9日,法国,82048,21254,10869,3881,541,60794
4月10日,法国,86334,23206,12210,4286,1341,63128
4月11日,法国,90676,24932,13197,4342,987,65744
4月12日,法国,93790,26391,13832,3114,635,67399
4月13日,法国,95403,27186,14393,1613,561,68217
4月14日,法国,98076,27718,14967,2673,574,70358
4月15日,法国,103573,28805,15729,5497,762,74768
4月16日,法国,106206,30955,17167,2633,1438,75251
4月17日,法国,108847,32812,17920,2641,753,76035
4月18日,法国,109252,34420,18681,405,761,74832
4月19日,法国,111821,35983,19323,2569,642,75838
4月20日,法国,112606,36578,19718,785,395,76028
4月21日,法国,114657,37409,20265,2051,547,77248
4月22日,法国,117324,39181,20796,2667,531,78143
4月23日,法国,119151,40657,21340,1827,544,78494
4月24日,法国,120804,42088,21856,1653,516,78716
4月25日,法国,122577,43493,22245,1773,389,79084
4月26日,法国,124114,44594,22614,1537,369,79520
4月27日,法国,124575,44903,22856,461,242,79672
4月28日,法国,128339,45513,23293,3764,437,82826
4月29日,法国,129859,46886,23660,1520,367,82973
4月30日,法国,128442,48228,24087,-1417,427,80214
